"NOME_CANDIDATO","NOME_URNA_CANDIDATO","COD_GRAU_INSTRUCAO","CODIGO_ESTADO_CIVIL"
"JORGE KHOURY HEDAYE","JORGE KHOURY",8,1
"JORGE LUIS ARAUJO COSTA","JOTA ÉLE",6,1
"JOSE CARLOS LEAO DE ARAUJO","JOSÉ CARLOS ARAÚJO",7,1
"JOSE EDUARDO VIEIRA RIBEIRO","ZEZEU",8,1
"JOSE GONZAGA DA SILVA","GONZAGA",6,1
"JOSE RAIMUNDO DA SILVA","ZÉ DO LÍCIO",3,1
"JOSE RAIMUNDO SAMPAIO OLIVEIRA","ZÉ RAIMUNDO",7,1
"JOSEPH WALLACE FARIA BANDEIRA","JOSEPH BANDEIRA",8,1
"JOSIAS GOMES DA SILVA","JOSIAS GOMES",8,1
"JOSE ALMEIDA ROCHA","ALMEIDA ROCHA",6,1
"JOSE ALVES ROCHA","JOSÉ ROCHA",8,1
"JOSE ALVES SECUNDO","PROFESSOR JOSÉ ALVES SECUNDO",8,1
"JOSE BARBOSA FILHO","BARBOSA",8,1
"JOSE CARLOS ALELUIA COSTA","ALELUIA",8,1
"JOSE CARLOS BRITO LACERDA","CARLOS LACERDA",8,1
"JOSE CARLOS DE JESUS RODRIGUES","ZÉ CARLOS DA PESCA",6,1
"JOSE DE SOUZA LEITE","ZÉ LEITE",6,1
"JOSE FRANCISCO DA SILVA","TIO DEDÉ",8,1
"JOSE MALTA MAIA","ZÉ MAIA",8,1
"JOAO FELIPE DE SOUZA LEAO","JOÃO LEÃO",4,1
"JUSCELINO PEREIRA SAMPAIO","JUSCELINO SAMPAIO",7,1
"JUSCELIO DE SOUZA CARMO","JUSCELIO CARMO",7,1
"JUSMARI TEREZINHA DE SOUZA OLIVEIRA","JUSMARI OLIVEIRA",8,1
"JUTAHY MAGALHAES JUNIOR","JUTAHY",8,1
"LOURIVAL MANOEL DO BONFIM","LOURIVAL COMPANHEIRO",6,1
"LUIZ ALBERTO SILVA DOS SANTOS","LUIZ ALBERTO",8,1
"LUIZ ANTONIO VASCONCELLOS CARREIRA","LUIZ CARREIRA",8,1
"LUIZ CARLOS BARROS DA SILVA","LULA BARROS",8,1
"LUIZ CARLOS BASSUMA","BASSUMA",8,1
"LUIZ FERNANDO DE FABINHO ARAUJO LIMA","FERNANDO DE FABINHO",8,1
"LUIZ HENRIQUE AZEVEDO FORTUNATO","LUIZ HENRIQUE FORTUNATO",6,1
"LUIZ HUMBERTO PRISCO VIANA","PRISCO VIANA",6,1
"LIDICE DA MATA E SOUZA","LÍDICE DA MATA",8,1
"MANOEL ISIDORIO DE SANTANA JUNIOR","SARGENTO ISIDÓRIO",6,1
"MANUEL AZEVEDO ROCHA","MANUEL ROCHA",7,1
